客户名称,项目名称,项目内容相关信息,项目所在城市,项目发布时间,中标公司,价格
北京交通大学,北京交通大学2022年移动专用网络国家工程研究中心科研专项中标公告,AGV自动控制单元；控制系统；数字孪生平台；信息系统开发平台 智昌；智,北京,2022-12-20,中信科智联科技有限公司,662640
北京交通大学,北京交通大学面向高比例新能源接入的变电站二次系统站网协同样机加工中标公告,在线监控与预警设备 北京四方 数字孪生线路保护装置CSC-103A-G,北京,2022-11-25,北京四方继保工程技术有限公司,381900
北京科技大学,0873-2201HW6L0903 北京科技大学数字孪生私有云平台采购中标公告,,海淀,2023-2-27,盛泽睿藤北京科技有限公司,983000
北京科技大学,BJYM22HW087 北京科技大学机电控制系统数字孪生实训平台项目中标公告,,海淀,2023-2-27,深圳市博科系统科技有限公司,976800
北京科技大学,0873-2201HW6L0904 北京科技大学数字孪生数据采集系统采购中标公告,,海淀,2022-12-13,盛泽睿藤（北京）科技有限公司,770000
北京理工大学唐山研究院,北京理工大学唐山研究院数字孪生系统设备采购（二次）成交公告,,河北,2023-1-18,北京众鼎景和科技有限公司,549600
北京轻工技师学院（北京乐器研究所）,北京轻工技师学院（北京乐器研究所）工业机器人实训室升级改造项目中标公告,司 工业数字技术开发平台/工业数字孪生配套开发系统 / 5 1.8万元,海淀,2023-5-19,北京慧科天成科技有限公司,3555816
北京石油化工学院,高质量应用型“人工智能”应用技术实验实训基地建设-综合能源系统仿真与智慧调控(二）第一包、第三包中标公告,深圳源中瑞科技有限公司 基于数字孪生的智慧供能及用能调控平台 YZR,北京,2022-9-14,天津奥利达环保设备有限公司,289850
北京市测绘设计研究院,数字孪生GIS平台开发服务中标公告,,大兴,2023-6-19,北京飞渡科技股份有限公司,1388000
北京市丰台区职业教育中心学校,丰职2023年北京市特色高水平职业院校建设项目-基于自主可控国产化技术生态的智慧城市数字孪生技术实训基地项目教学仪器采购项目,,丰台,2023-6-16,南京中科算通科技有限公司,1585600
北京市科学技术委员会本,创新企业科普联盟示范建设与服务成交公告,进行科普化建设，同时配套研发以数字孪生技术、虚拟增强现实等技术为基础的,海淀,2022-11-25,北京东升科技企业加速器有限公司,992000
北京市仪器仪表高级技工学校,智能制造VR仿真实验室项目中标公告,人拆装&实习实训系统、智能制造数字孪生工程实训平台等，详见招标文件第五,北京,2023-5-16,北京跃创想科技有限公司,2498710
北京市智慧水务发展研究院,智慧水务1.0基础底座（一期）（第1标段：水务大数据中心、水务码管理平台、...,京）技术有限公司联合体 高渲染数字孪生引擎、WebGL三维仿真引擎 D,海淀,2022-12-15,腾讯云计算(北京)有限责任公司、江河瑞通(北京)技术有限公司联合体,29900000
北京同方凌讯科技有限公司,水务数字孪生平台及系统提升改造项目采购结果公告,,北京,2023-3-27,西安辉瑞电子科技有限公司,0
北京智芯微电子科技有限公司,北京智芯微电子科技有限公司电缆数字孪生系统实施成交结果公告,,北京,2022-12-20,宁夏智德网络科技有限公司,675000
北京智芯微电子科技有限公司,北京智芯微电子科技有限公司 2022年第六批集中采购项目 公开竞争性谈判（服务）采购结果公告,022BC05-FF09-2 数字孪生可视化平台研发服务采购 上海梧飞,北京,2022-8-26,纪二千网络科技有限公司,0
北京中电飞华通信有限公司,北京中电飞华通信有限公司2022年第十二次（非物资）公开竞争性谈判（北京地区）成交结果公告,数字孪生评标园区平台功能模块研发 北京中电飞华通信有限公司 辽宁邮电规,北京,2022-11-8,北京中电飞华通信有限公司,0
北京中发展智源人工智能科技发展有限公司,国有自主可控GPU数字孪生算力软硬件产品-中标结果公示,,门头沟,2023-3-28,北京德康世纪科技有限公司,2496000
北京中核华辉科技发展有限公司,零代码数字孪生平台采购采购结果公告,,北京,2022-11-28,北京优锘科技有限公司,0
北仑区经济和信息化局,模具（金属）产业大脑一期项目单一来源采购公示,、行业设备分析）和企业端应用（数字孪生服务、“链上找”服务、产业金融服,浙江,2022-8-31,宁波数桥云科技有限公司,0
毕节市水务局,毕节市水务局关于毕节市（赤水河流域）基于数字孪生水资源精细化管理试点项目（二次）的中标(成交)结果公告,,毕节,2023-1-11,北京金水信息技术发展有限公司,1585000
材料与能源学院,金属材料工程数字孪生系统及高分子材料与工程数字孪生系统采购项目电子竞价结果公告,,广东,2022-11-18,北京象新力科技有限公司,865000
常德财经中等专业学校,常德财经中等专业学校工业机器人数字孪生实训室设备采购-竞争性磋商成交公告,,常德,2022-12-28,湖南易捷达信息科技有限责任公司,1983000
常州工业职业技术学院,常州工业职业技术学院MES与数字孪生实训中心项目成交结果公告,,常州,2022-7-22,北京华航唯实机器人科技股份有限公司,690000
常州机电职业技术学院,常州机电职业技术学院模具数字孪生虚拟仿真建设项目中标（成交）结果公告,,常州,2022-9-29,珠海汉迪自动化设备有限公司,1380000
成都北方石油勘探开发技术有限公司,大数据驱动下的智能测井、气藏预测与数字孪生系统研发项目中标候选人公示,,西安,2022-7-13,中科数智能源科技深圳有限公司,17503000
成都高新技术产业开发区公园城市建设局,成都高新西区地下空间（含综合管线）规划编制项目公开招标中标公告,,成都,2023-6-26,成都市市政工程设计研究院有限公司(联合体成员:深圳市城市规划设计研究院股份有限公司),2480000
成都理工大学,成都理工大学教学及专业认证软件采购项目中标（成交）结果公告,息可视化、虚拟现实、虚拟仿真、数字孪生等技术提供功能丰富的三维图形创作,成都,2022-8-11,成都亚细亚集创科技有限公司,0
成都市成华区人民政府保和街道办事处,成都市成华区人民政府保和街道办事处斑竹社区智慧特色场景营造项目竞争性磋商成交公告,,成都,2022-11-21,成都数字家园科技有限公司,496600
成都市成华区人民政府府青路街道办事处,府青街道数字门岗项目成交结果公告,数字门岗终端，实现“绿码通”“数字孪生社区”等场景的初步呈现。 服务要,成都,2022-7-6,成都交子数字金融投资集团有限公司,187650
成都市公园城市建设管理局,成都市公园城市建设管理局成都市公园城市建设管理智慧云平台（一期）公开招标中标公告,,成都,2023-5-25,中国电信股份有限公司成都分公司,10400000
成都市金牛区行政审批局,成都市金牛区行政审批局智慧蓉城金牛区运行中心一期服务方案设计服务采购项目（二次）公开招标中标公告,及IoT数据等资源，完成金牛区数字孪生基础数据底座的搭建，在此基础上完,成都,2023-5-9,四川通信科研规划设计有限责任公司,420000
成都市龙泉驿区经济和信息化局,成都市龙泉驿区经济和信息化局成都经开区工业经济数字孪生管理平台采购项目(二次)中标（成交）结果公告,,成都,2022-8-19,集商网络科技(上海)有限公司,778000
成都市武侯城市有机更新开发建设有限责任公司,武侯区华西医美健康数字孪生城市建设项目 中标结果公告,,成都,2022-12-30,成都武侯社区科技有限公司,6433700
成都市新经济发展委员会,成都市新经济发展委员会2022成都全球创新创业交易会—第二届国际区块链创新应用博览会GIEF元宇宙线上创交会公开招标中标公告,、区块链等前沿科技为支撑，通过数字孪生技术将物理空间反映在虚拟空间中并,成都,2022-9-29,成都创禾聚力科技有限公司,1965000
成都信息工程大学,成都信息工程大学中长期贷款第二批采购项目公开招标中标结果公告,元) 2 教学仪器 航空发动机数字孪生与综合控制研究中心设备 星宇等,成都,2023-5-18,成都嘉恒科技有限责任公司,1491900
成都研究院,中移（成都）信息通信科技有限公司2022 年智慧教育-教育行业重点产品及应用研究项目（智慧校园数字孪生可视化）_中选结果公示,,成都,2022-11-28,成都掌云天下科技有限公司,0
重庆工贸职业技术学院,智能制造学院采购虚拟仿真实训基地数字孪生实训室设备(CQS22A01833)中标（成交）结果公告,,重庆,2022-10-28,广州引亮智能技术有限公司,1448500
重庆工商大学,智能制造生产规划及数字孪生虚拟仿真实验室建设项目（包1）（2次）(CQS22A01586)中标（成交）结果公告,,重庆,2023-1-17,重庆华中数控技术有限公司,1400000
重庆工商大学,智能制造生产规划及数字孪生虚拟仿真实验室建设和智能汽车教学平台建设项目(CQS22A01586)中标（成交）结果公告,,南岸区,2022-10-25,重庆汇博实验仪器有限公司,361000
重庆建筑工程职业学院,重庆建筑工程职业学院数字设计虚拟仿真实训中心及数字孪生城市研发中心一期(CQS22A01246)中标（成交）结果公告,,巴南区,2022-8-18,重庆政经信息科技有限公司,599500
重庆建筑工程职业学院,重庆建筑工程职业学院数字孪生空间虚拟仿真实训资源项目竞争性谈判结果公示,,南岸区,2022-7-8,重庆贝锦科技有限公司,0
重庆市公路事务中心,重庆市普通公路数字孪生技术研究与示范结果公告,,重庆,2022-8-29,重庆市公路数据服务中心,149000
滁州市明湖建设管理服务中心,安徽省滁州市明湖幸福河湖建设项目（明湖数字流域建设）中标结果公告,测体系、基础设施建设、明湖流域数字孪生底板构建等内容 服务要求：按合同,滁州,2022-9-29,安徽省滁州市明湖幸福河湖建设项目,23191618
淳安县千岛湖生态综合保护局,淳安县小流域（武强溪）洪涝风险管理数字孪生平台网络安全及机房环境建设项目中标公告,,杭州,2023-2-8,浙江远算科技有限公司,286000
慈溪市自然资源和规划局,浙江天成项目管理有限公司关于慈溪市数字孪生空间底座建筑实体数据资源建设项目的中标(成交)结果公告,,宁波,2023-4-23,慈溪市土地勘测规划设计院有限公司、浙江省测绘科学技术研究院(联合体),2380000
大连口岸物流网股份有限公司,大窑湾海关可视化监控平台数字孪生技术服务结果公告,,大连,2022-12-5,北京帮威客科技有限公司,0
大连理工大学,大连理工大学等温滴定微量热仪采购项目成交公告,2-09 大连理工大学工业装备数字孪生数据管理与优化设计综合平台采购项,上海,2022-12-13,上海思百吉仪器系统有限公司,1300000
大连理工大学,大连理工大学扫描电化学显微镜采购项目成交公告,2-09 大连理工大学工业装备数字孪生数据管理与优化设计综合平台采购项,上海,2022-12-12,大连合锐科学仪器有限公司,1600000
道路与交通工程教育部重点实验室,道路与交通工程教育部重点实验室 三相映射交通数字孪生集成系统（子系统...,,上海,2023-3-28,北京万集科技股份有限公司,29525000
东北大学,【服务】钢铁流程数字孪生标准试验验证平台软件功能测试（二次）成交结果公告,,沈阳,2023-5-10,机械工业仪器仪表综合技术经济研究所,385000
东北大学,【贴息贷款】数字孪生建模平台采购项目（贴息贷款）（三次） 成交结果公告,,沈阳,2022-12-15,重庆瞰图科技有限公司,438000
东北大学,【贴息贷款】数字孪生驱动的可视化智能监控与性能评估智能系统--数据展示系统成交结果公告（TXD22251）,,沈阳,2022-12-12,长春市新瑞国科电子科技有限公司,1560000
东北大学,端边云协同的全生命周期设备智能远程运维平台--服务器部分（贴息贷款）中标公告,512704 2 选矿设备运维数字孪生系统 浪潮 NF5468M6 1,辽宁,2022-12-12,辽宁育能科技有限公司,2400813
东北大学,【贴息贷款】基于数字孪生的复杂工业综合智能控制系统--过程对象模型训练服务器集群中标公告（TXD22227）,,沈阳,2022-12-11,辽宁邮电规划设计院有限公司,2508000
东北大学,东北大学基于工业互联网的轧制过程动态数字孪生子平台--金属材料数据平台（贴息贷款）单一来源成交公告,,辽宁,2022-12-9,钢铁研究总院有限公司,1480000
东北大学,【贴息贷款】端边云协同基于数字孪生的高性能控制系统设计平台--端边云协同高性能控制系统成交结果公告（TXD22242）,,沈阳,2022-12-9,沈阳泰科电气设备有限公司,465000
东北大学,【贴息贷款】数字孪生驱动的基于数字孪生的高性能控制系统设计平台--数字孪生高性能控制系统成交结果公告（TXD22246）,,沈阳,2022-12-9,沈阳德丰自动化系统有限公司,385000
东北大学,【贴息贷款】数字孪生驱动氧化铝成交结果公告（TXD22241）,,沈阳,2022-12-8,净和（辽宁）机电制造有限公司,792500
东北大学,基于数字孪生的复杂工业综合智能控制系统--选别过程控制系统（贴息贷款）成交公告,,辽宁,2022-12-7,沈阳泰科电气设备有限公司,1237300
东北大学,基于数字孪生的复杂工业综合智能控制系统--有色过程控制系统（贴息贷款）成交公告,,辽宁,2022-12-6,克夫曼智能工业科技（沈阳）有限公司,1354000
东北大学,东北大学数字孪生驱动生产要素可视化检测、预测、回溯、决策与控制一体化智能系统--数字孪生决策系统（贴息贷款）成交公告,,辽宁,2022-12-5,沈阳艾悠辰科技有限公司,1083000
东北大学,数字孪生驱动的生产过程运行优化与控制智能系统--运行优化与控制数字孪生服务器集群（贴息贷款）成交公告,,辽宁,2022-12-3,沈阳皓翔科技有限公司,1231500
东北大学,东北大学数字孪生驱动的可视化智能监控与性能评估智能系统--数字孪生性能评估系统（贴息贷款）成交公告,,辽宁,2022-12-2,沈阳艾比利电子科技有限公司,1537000
东北大学,端边云协同的生产过程运行优化与控制智能系统--端边云协同运行控制数字孪生服务器集群（贴息贷款）成交公告,,辽宁,2022-11-30,辽宁荣科智维云科技有限公司,1239800
东方电气集团(四川)物产有限公司,物资保障部燃机热障涂层制备用等离子喷涂系统数字孪生技术开发,,深圳,2022-7-14,深圳十沣科技有限公司,0
东方电气集团东方电机有限公司,【东方电气集团东方电机有限公司】发电设备数字孪生智能运维基础应用软件及试点应用开发-中标公告,,上海,2023-2-10,上海数巧信息科技有限公司,0
东方电气集团科学技术研究院有限公司,东方锅炉数字化车间数字孪生系统及集控室硬件采购项目-中标公告,,四川,2023-5-5,四川宏华电气有限责任公司,0
东平宜居建设工程项目管理有限公司,东平县黄河流域水生态保护综合治理项目-基于数字孪生技术的东平县水系连通及水美乡村标准化综合运行管理平台(含东平县智慧水利工程标准化运行管理系统)中标结果公告,,泰安,2022-9-7,山东大禹水务建设集团有限公司,3884400
东阳数据资源有限公司,泰宇建筑工程技术咨询有限公司关于数字孪生金华横锦水库综合应用（一期）的中标结果公告,,金华,2022-11-8,浙江广川工程咨询有限公司,5566000
东营市技师学院,东营市技师学院东营市中等专业学校电气（化学）工程系光机电一体化设备...,）工程系光机电一体化设备升级为数字孪生系统项目 山东栋梁科技设备有限公,东营,2022-11-2,山东栋梁科技设备有限公司,483000
鄂尔多斯市农牧局,鄂尔多斯市农牧局2023年06月政府采购意向,"，实现馆内6个园区的VR展示和数字孪生展示。 2,000.0000 2",鄂尔多斯,2023-6-14,,0
佛山科学技术学院,弹药智能装配平台建设,弹药装配全过程数字孪生演示平台 昕光,株洲,2022-10-31,株洲市昕光机械设备有限公司,2000000
福建发展高速公路股份有限公司,G15沈海高速泉厦段扩容工程智慧高速建设技术指导服务SZ2合同段中标候选人公示（暨中标结果公示）,评估研究 7、高速公路交通运行数字孪生及泉厦扩容交通运行仿真决策平台研,福州,2023-3-30,深圳市城市交通规划设计研究中心股份有限公司,17009570
福建福清核电有限公司,福清核电基于数字孪生技术的核电厂厂用电系统智慧运检技术研究及应用开发项目中标结果公告,,福州,2023-2-24,清华大学,0
福建省电力建设工程咨询有限公司,福建亿力集团有限公司2022年第十批次采购项目(1322YLFF10)公开竞争性谈判项目成交结果公告,省级机房数字孪生场景配置实施 包1,厦门,2022-10-27,福建榕图电力科技有限公司,0
福建省九龙江北溪水资源调配中心,数字孪生九龙江北溪建设先行先试项目设计采购安装服务总承包中标结果公示,,福建,2022-10-14,福建省水利水电勘测设计研究院有限公司,25212110
福建省上杭职业中专学校,上杭职专2022年工业数字孪生系统设备采购项目结果公告(包1),,龙岩,2022-12-28,福建城事网络科技有限公司,739000
福建信息职业技术学院,福建信息职业技术学院物智学院技术应用推广中心设备采购项目结果公告（合同包 1 ）,"心设备 北京优锘科技有限公司 数字孪生应用中心设备,详见采购文件。 1",福州,2023-4-11,北京优锘科技有限公司,465000
福建信息职业技术学院,福建信息职业技术学院建工学院数字测图虚拟仿真综合实训室建设采购项目成交公告,厦门市规划数字技术研究中心 数字孪生模型制作; 数字孪生仿真平台 厦,福建,2022-11-11,厦门市规划数字技术研究中心,390000
福建信息职业技术学院,福建信息职业技术学院工业机器人虚拟仿真实训中心建设项目（货物类采购项目）结果公告(包1),A033412 教学专用仪器 数字孪生基础教学实训台 华航唯实 华航唯,福州,2022-11-11,北京华航唯实机器人科技股份有限公司,1169500
福建亿力电力科技有限责任公司,国网信息通信产业集团有限公司2023年第三次授权（非物资）公开竞争性谈判（福建地区）成交结果公告,3SQFJ-FF35 智慧中枢数字孪生平台开发服务 国网信通亿力科技有,厦门,2023-4-17,山东赛瑞思信息科技有限公司,0
福州市城乡建总集团有限公司,建总大厦数字孪生平台建设项目项目的中标结果公告,,福州,2023-5-11,深圳开鸿数字产业发展有限公司,0
福州市水利局,福州溪源溪小流域（溪源水库）数字孪生建设项目（一期）,,福州,2023-6-19,四创科技有限公司,91800
阜阳科学技术学校,阜阳科学技术学校工业数字孪生设备采购项目成交结果公告,,阜阳,2023-5-12,合肥泓齐教育设备有限公司,734000
阜阳市城市资产投资经营有限责任公司,阜阳市建投资管智慧服务平台建设项目成交结果公告,包括但不限于资产管理中心、资产运营中心、用户管理中心、客户服务中心、线上报修派修系统、周转房线上受理及签约系统、合同管理、大数据分析系统、资产数字孪生可视化、场景配置管理、资产孪生建模、资产720°全景沙盘、资产分析总览、财务分析总览、资产安全态势总览、客户综合服务总览。详见竞争性谈判文件采购需求,阜阳,2023-5-27,阜阳市大数据资产运营有限公司,2720000
复旦大学附属眼耳鼻喉科医院,复旦大学附属眼耳鼻喉科医院基于5G人工智能数字孪生可视化医疗服务系统建设中标公告,,徐汇,2022-7-14,国菱金达医疗科技（上海）有限公司,6645000
复旦大学附属中山医院,复旦大学附属中山医院5G+智慧医疗生态圈呼吸内科虚拟科室系统成交公告,e，COPD），通过虚拟现实、数字孪生、NLP、TTS、KCG等技术实,上海,2022-10-25,上海申挚医疗科技有限公司,390000
甘肃省疏勒河流域水资源利用中心,甘肃省疏勒河流域水资源利用中心昌马数字孪生灌区信息中心建设项目成交公示,,甘肃,2023-6-10,甘肃华基伟业建设有限公司,3286060
甘肃省疏勒河流域水资源利用中心,甘肃省昌马大型灌区“十四五”续建配套与现代化改造项目2022年度实施工程（第二批）第十一标段：数字孪生疏勒河（数字灌区）,,酒泉,2022-8-22,北京慧图科技(集团)股份有限公司,16338028
甘肃省水利,《讨赖河流域数字孪生建设项目》实施方案 编制招标代理服务成交公示,,甘肃,2023-5-27,甘肃省建设监理有限责任公司,15800
甘肃紫金云大数据开发有限责任公司,甘肃紫金云大数据开发有限责任公司 软件系统采购项目单一来源公示,IoT数据、公共专题数据等实现数字孪生，构建新型数据“一张图”。 1,甘肃,2022-11-7,中国联合网络通信有限公司兰州市分公司,0
赣江新区创新发展局,江西省鼎跃招标咨询有限公司关于赣江新区数字孪生城市基础底座平...,,南昌,2022-8-16,苏州市软件评测中心有限公司,92000
钢集团自动化有限公司,彩涂分厂数字化产线项目-3D展示和数字孪生,,鞍山,2023-3-7,鞍山泰艾德机器人技术有限公司,0
工业和信息化部威海电子信息技术综合研究中心,工业和信息化部威海电子信息技术综合研究中心工业互联网创新发展工程—工业数字孪生管理系统项目成交公告,,山东,2023-4-28,中国移动通信集团山东有限公司,1795000
古田县食用菌研发中心,古田县食用菌研发中心古田食用菌产业数字大脑系统项目子项目虚拟人物互动系统项目中标公告,成功之日起算一年。 进一步探索数字孪生人与场景应用，在硬件和软件上进一,福建,2023-1-12,厦门风鱼动漫有限公司,1000000
冠县人民政府办公室机关,冠县新型智慧城市建设项目标段2：数字孪生、视频融合共享及基础支撑设施建设中标公示,,山东,2022-12-14,中国移动通信集团山东有限公司,9533500
广东财贸职业学院,广东财贸职业学院清远校区北斗+数字供应链实验室采购项目结果公告,合同包3(北斗导航定位跟踪技术数字孪生仿真实训室): 供应商名称 供应,清远,2022-12-30,众育(广州)信息科技有限公司,1998000
广东电网有限责任公司广州供电局,广州供电局2022年7月专项一次（10kV分裂限流电抗器等）、二次（录音成套设备等）、线路（电缆故障定位系统等）、仪器仪表（仓储数字孪生系统研发等）、营销（三相退运电能表智能分拣装置等）物资竞争性谈判(二次采购)中标公告,,广州,2022-11-9,广州番禺电缆集团有限公司,0
广东工业大学,广东工业大学机械设计基础与精密机械测量技术实验室设备等采购项目（项目编号：0835-220Z12308451）结果公告,3 其他专用仪器仪表 智能制造数字孪生实训套件 巨轮 JL-SSLS3,广州,2022-12-2,广州深意数字科技集团股份有限公司,1960880
广东海洋大学,广东海洋大学新工科综合创新实训中心智能制造创新实践基地设备采购项目结果公告,.00 1-6 其他机械设备 数字孪生与仿真系统 迈思 数字孪生与仿真,广东,2023-3-2,北京航臻科技有限公司,12788000
广东机电职业技术学院,广东机电职业技术学院智能制造产线建设项目【项目编号：GDJY221101001HG065】结果公告,,广州,2022-12-23,广东省机械研究所有限公司,5169000
广东交通职业技术学院,广东交通职业技术学院工业机器人集成应用实训中心项目（GZSW22156HG4244）结果公告,.00 1-2 教学专用仪器 数字孪生PLC控制箱 华航唯实 CHL-,广州,2023-2-16,广州双元科技有限公司,3082300
广东开放大学,智能机器人产教融合创新中心,022 79500.000元 数字孪生系统工作站 秉优 Robot_D,广东,2022-9-26,广州秉优信息科技有限公司,298000
广东开放大学,智能制造数字孪生实训室成交公告,,广州,2022-9-15,广州秉优信息科技有限公司,548600
广东美的厨房电器制造有限公司,广东美的厨房电器制造有限公司 23年-顺德工厂-2023年微清顺德工厂数字孪生应用项目 拟中标结果公示,,佛山,2023-5-17,美云智数科技有限公司,683298
广东美的生活电器制造有限公司,广东美的生活电器制造有限公司 数字孪生平台开发 定标结果公告,,广东,2023-3-20,美云智数科技有限公司,200000
广东轻工职业技术学院,广东轻工职业技术学院新建用户体验研究实验室结果公告,互实验箱 树根教育 工业互联网数字孪生应用实训系统 REDU-DG01,广州,2022-11-15,树根互联股份有限公司,997930
广东韶钢松山股份有限公司,炼铁厂化产中心3号产线数字孪生工程EPC总承包,,上海,2022-11-14,广东韶钢工程技术有限公司,0
广东省电信规划设计院有限公司,广东省电信规划设计院有限公司 中山大学智能工程学院城市交通数字孪生平台集成支撑采购项目（软件开发） 单一来源采购公示,,广州,2023-2-8,广州智方信息科技有限公司,0
广东省固体废物和化学品环境中心,省生态环境厅固体废物和化学品环境中心“粤无废”固体废物监管能力提升运营（2023年）项目结果公告,0 1-1 其他服务 业务管理运营服务- “粤无废”示范园区数字孪生试,广州,2023-6-1,联通(广东)产业互联网有限公司(联合体成员:航科广软(广州)数字科技有限公司),2852500
广东省广播电视网络股份有限公司佛山分公司,智慧城市数字孪生业务展示试点项目成交结果公告,,佛山,2022-11-17,广州浩传网络科技有限公司,402737
广东省国防科技技师学院,数字孪生技术应用实训室台式计算机采购项目（二次）中标结果公示,,广州,2022-9-30,广东惠采科技有限公司,171760
广东省国防科技技师学院（广东省技工教育师资培训学院）,广东省国防科技技师学院数字孪生技术应用特色专业实训室建设项目（项目编号：0835-220Z18703511）结果公告,,深圳,2022-9-2,深圳市华兴鼎盛科技有限公司,842600
广东省林业调查规划院,广东林业数据能力提升之绿美广东数字孪生示范区技术服务结果公告,,广州,2023-6-21,中国林业科学研究院资源信息研究所,795000
广东省轻工业技师学院,广东省轻工业技师学院工业机器人实训室智能产线实训区设备采购项目结果公告,00.00 1-2 其他货物 数字孪生教学资源包 高谱 GPE50-0,广州,2022-11-3,广州高谱技术有限公司,1497500
广东省水利厅,广东智慧水利工程（一期）数据处理运营服务项目结果公告,.00 1-1 软件运营服务 数字孪生支撑平台数据处理运营服务 响应招,广州,2023-5-6,广东省水利水电科学研究院(联合体成员:中国水利水电科学研究院、中国软件与技术服务股份有限公司),163000000
广东省特种设备检测研究院顺德检测院,广东省工业锅炉安全节能环保科普基地设备采购及配套安装服务项目结果公告,环保检测业务，数字沙盘系统包含数字孪生场景建模、三维动态效果演示、热点,广州,2022-11-21,广州市迪拓信息科技有限公司,3782717
广东省政务服务数据管理局,广东省省级政务信息化（2022年第四批）项目结果公告,件开发服务 智慧水利支撑体系-数字孪生支撑平台 完全满足招标文件采购需,广东,2022-9-30,数字广东网络建设有限公司,320000000
